Provincia,Comune/Diocesi,Frazione,Chiesa,Secolo,Anno,Fonditore,Città Fonditore,Altezza,Diametro,Ruolo,Tipologia campanaria,Tono,Descrizione,Iscrizione1,Iscrizione2,Iscrizione3,Iscrizione4,NOTE
Chieti,Castelfrentano,,Chiesa di Santo Stefano Protomartire,XX,1904,Fratelli Mari,Salle,80,70,terza,,DO4,"San Nicola da Bari, San Antonio Abate",FUSA DAI FRATELLI MARI / DI SALLE 1904,,,,
Chieti,Castelfrentano,,Chiesa del SS Rosario,XX,1912,Fratelli Mari,Salle,,67,mezzana,,REB4,,A CURA DELL'ARCICONFRATERNITA DEL SS. ROSARIO/ FUSA DAI FRATELLI MARI,,,,
Chieti,Rocca San Giovanni,,Chiesa San Matteo Apostolo,XX,1913,Loreto Mari,Salle,,62,seconda,,SI3,S. Matteo apostolo SS.mo Sacramento,"D O M TUA EST DOMINE MAGNIFICENTIA ET POTENTIA ET GLORIA A TOUE VICTORIA: TIBI LAUS A.D. MCMXIII MARI FECIT SALLE""",,,,
Chieti,Atessa,,Chiesa di San Michele,XX,1913,GiovanBattista Mari e Giuseppe (?) Mari,Salle,,,mezzana,,,,A. D. MCMXIII hanc campanam fundere D. Michael R. Curatus Agrifoglio curavit Joannes Bapt. Cav. Mari a Salle neposque Joseph fuderunt,,,,RIFUSA DA MARINELLI NEL 1948
L'Aquila,Vittorito,,Chiesa Madonna della Neve,??,??,Fonderia Mari,Salle,,81,terza,nona,SIB3,,,,,,
L'Aquila,Trasacco,,SS. Cesidio e Rufino,XVIII,1759/1813 (?),Loreto Mari,Salle,160,148,campanone,,DO3,"Immacolata Concezione con corona di 12 stelle, 2 salamandre di cui una che morde una lucertolina, l' ape, San Cesidio, San Rufino e il Crocifisso con i simboli della Passione",SINE LABE CONCEPTA * POST QUINQUAGESIMUM QUINTUM ANNUM LAURETUS MARI AQUILANUS SALLE MANENS MELIUS HOC OPUS CONFICIENDUM CURAVIT A.D.1813. / S.C.C.P.N.  C.A.F.P. / R.P.E.M /  (1° rigo) TE PATRIA LIBERATIONEM AMEN + CRISTVS REX VENIT IN PACE + IMI MENTEM SANCTAM SPONTANEAM HONOREM DEO (2° rigo) A FULGURE ET TEMPESTATE LIBERA NOS DNE + S CESIDIO. P.N.+ DEUS HOMO  FACTUS EST ET VERBUM CARO FACTUM EST (3° rigo)  INSIG. COLLEGIATAE ECCAE SS. CAESSIDII ET RUFINI TRANSAQRM. + ABILLmo & REmo DoO CAMILLO ROSSI EP ONRO CONECRATA SUMPT,,,,
Chieti,Ari,,Chiesa del Santissimo Salvatore,XX,1934 (?),Premiata Fonderia Mari,Salle,,135,campanone,nona,MIB3,,,,,,
Rieti,Antrodoco,,Chiesa di Santa Maria Assunta (Duomo),,,Loreto Mari,Salle,,,sesta,,,,,,,,
L'Aquila,Magliano dei Marsi,,,,,Fonderia Mari,Salle,,,campanone,,,,,,,,
Pescara,Salle,,Chiesa del Santissimo Salvatore,XIX,1897,Fratelli Mari,Salle,,,campanone,,,,... MARI DI SALLE A 1897,,,,
Pescara,Salle,,Cimitero,,,Fratelli Mari,Salle,,,,,,Raffigurato ostensorio con la scritta IHS,... ETERNO PIANTO ... CONGREGATIONIS ... CONCEPTAE ... SACRAMENTI,,,,
Campobasso,Morrone del Sannio,,Chiesa Madre di Santa Maria Maggiore,XX,1933,Fonderia Mari,Salle,,65,,,RE4,"denominata ""ROBERTINA"" dal Beato Roberto di Salle -rifusa dalla fonderia Mari - Castelfrentano",NELL'ANNO GIUBILARE DELL'UMANA FEDE - MCMXXXIII - VENNI RIFUSA A CASTELFRENTANO - DAI FRATELLI MARI - NATIVI DI SALLE - PATRIA DEL BEATO ROBERTO -  IMPONENDOMI IL NOME - DI ROBERTINA,,,,
Pescara,Torre de' Passeri,,Beata Vergine Maria delle Grazie,XIX,1862,Daniele e Angelo Mari,Salle,,,seconda,,SOL3,,S. MARIA GRAZIANA | COMUNE DI TORRE DE PASSERI | DEPOTAZIONE DI S. ANTONINO E L'ADDOLORATA | PASQUALE CASCIERI NICOLA DE VINCENTIIS ANTONIO COLANGELO E LUIGI DI B. ELIA P. | FUNDEBANT DANIEL MARI ET ANGELUS FILIUS A SALLE | A.D. MDCCCLXII,,,,
L'Aquila,Sumona,,Chiesa della Santissima Annunziata,XIX,1881,Daniele e Loreto Mari,Salle,,85,terza,,SIB3,,A domo tua Domine/spiritales nequitiae repellantur/gubernator et consiliarii piae domus/hoc opus anno MDCCCLXXXI/fieri curarunt/Daniel Mari et Lauretus filius a Salle fuserunt.,,,,
